QID,glove,composes
Q1_C1,0.893808741858598,0.5083387766063
Q1_C2,0.939263569708286,0.769076028142605
Q1_C3,0.8936652956837,0.600106885232546
Q1_C4,0.93356096160046,0.730016030307125
Q1_C5,0.909961504560848,0.653995750701323
Q1_C6,0.875836049371013,0.584030180412735
Q2_C1,0.955789703082971,0.813078600120964
Q3_C1,0.810607396069109,0.601771090369194
Q4_C1,0.940106413939625,0.693396810128429
Q5_C1,0.978539499311488,0.871098774834239
Q5_C2,0.960461210095373,0.818237718901105
Q5_C3,0.973758235235607,0.818335796594222
Q5_C4,0.976165352572141,0.874486960057426
Q5_C5,0.988325311215117,0.918085326353905
Q5_C6,0.989855529379506,0.930489632291883
Q5_C7,0.989985345068452,0.917315242463446
Q5_C8,0.981410545056665,0.870901956799466
Q6_C1,0.975710685368966,0.858824059772719
Q6_C2,0.963640460619602,0.793881798445932
Q6_C3,0.968220477161743,0.821685220722302
Q6_C4,0.987756236947292,0.919605800668684
Q7_C1,0.972257059021073,0.83154108137462
Q7_C2,0.86982509991335,0.404927393291731
Q7_C3,0.939266795327665,0.691920615730505
Q7_C4,0.937921422811543,0.779010297053276
Q8_C1,0.897121987114943,0.616161677651076
Q8_C2,0.938568947553512,0.685158284427944
Q8_C3,0.980707246153741,0.869040593647309
Q8_C4,0.80480627754439,0.409093428232066
Q8_C5,0.952680941266781,0.738266951435913
Q8_C6,0.977612702875075,0.833063138081063
Q8_C7,0.952382407321956,0.738642721886162
Q9_C1,0.957134094190828,0.745665066121429
Q9_C2,0.982645724178846,0.880533002512157
Q9_C3,0.906332714524168,0.607653104464017
Q9_C4,0.982190832349932,0.877628638133723
Q10_C1,0.929616141344728,0.623173082328893
Q10_C2,0.963337388554838,0.825860705468638
Q10_C3,0.942914021607167,0.714696655064308
Q10_C4,0.931654306632112,0.692419780682338
Q10_C5,0.931823082518938,0.690620722313985
Q11_C1,0.841087162941558,0.475801760217745
Q11_C2,0.841087162941558,0.475801760217745
Q11_C3,0.841087162941558,0.475801760217745
Q12_C1,0.865076019400667,0.501516325031118
Q12_C2,0.886529058570697,0.636892110136937
Q12_C3,0.916174543092459,0.710633941688235
Q12_C4,0.92955025159967,0.643272928549945
Q12_C5,0,0
Q13_C1,0.906476932736749,0.6789660796156
Q13_C2,0.92913751008094,0.742661154108655
Q13_C3,0.820904292348561,0.426580697077887
Q14_C1,0.920374156643847,0.681942416038274
Q14_C2,0.947902047634437,0.74396970580641
Q14_C3,0.685354451124505,0.618779729862234
Q14_C4,0.973768644993427,0.855781145367148
Q14_C5,0.967485887535458,0.799602641876893
Q15_C1,0.674148109172645,0.289235442269273
Q16_C1,0.792125486612206,0.405195753669328
Q17_C1,0.910786353595518,0.596902734267947
Q17_C2,0.893828680461942,0.529237648634293
Q17_C3,0.952123090538585,0.766300897272881
Q17_C4,0.970334828622761,0.81301037776085
Q17_C5,0.938915181297913,0.713694312706557
Q18_C1,0.896668368185042,0.74669379588233
Q18_C2,0.950037098012333,0.749983116409795
Q18_C3,0.978241602336745,0.845504129419447
Q18_C4,0.982147613294164,0.882172108358349
Q18_C5,0.958699334652789,0.720511251138983
Q18_C6,0.911852115783163,0.648121761762183
Q18_C7,0.914194860462196,0.58711129695583
Q18_C8,0.890596664460669,0.622444925434009
Q18_C9,0.976189224119999,0.847371593699675
Q18_C10,0.955499029098257,0.773920580470411
Q18_C11,0.983325353546283,0.876831987175826
Q18_C12,0.97352266767665,0.804227799494263
Q18_C13,0.968726961713472,0.809303518284569
Q18_C14,0.941258275152297,0.74878649117671
Q18_C15,0.971179223536735,0.846277842990101
Q18_C16,0.949495152796696,0.761089930341279
Q18_C17,0.974841763830727,0.857502008295674
